"logID","fightID","duration_s","f_kill","f_logNote3","logStatus","averageItemLevel","f_special","Cast_Seq","timestamp_s","hitPoints","x","y","special"
"xADwXrd8jf6aG1YF",23,102,"Kill","Execution","Log w/ wipe(s)",251.240005493164,"DV",1,51.023,17235130,-16412,57779,NA
"xADwXrd8jf6aG1YF",23,102,"Kill","Execution","Log w/ wipe(s)",251.240005493164,"SoD",2,90.039,3645105,-15919,57683,NA
"nNrw97LFyj1K3GvJ",15,66,"Wipe","Execution","Log w/ wipe(s)",251.83332824707,"LV",1,51.062,19723475,-16725,54832,NA
"nNrw97LFyj1K3GvJ",16,67,"Wipe","Execution","Log w/ wipe(s)",251.91667175293,"LV",1,51.01,21216106,-16881,54788,NA
"nNrw97LFyj1K3GvJ",17,77,"Wipe","Execution","Log w/ wipe(s)",252.080001831055,"SoL",1,45.013,19601319,-17127,55025,NA
"nNrw97LFyj1K3GvJ",18,82,"Wipe","Execution","Log w/ wipe(s)",251.919998168945,"LV",1,50.994,17249655,-17121,55142,NA
"nNrw97LFyj1K3GvJ",19,101,"Kill","Execution","Log w/ wipe(s)",251.919998168945,"SoD",1,45.018,19279237,-17031,54151,NA
"nNrw97LFyj1K3GvJ",19,101,"Kill","Execution","Log w/ wipe(s)",251.919998168945,"SoL",2,90.017,3415100,-16883,54558,NA
"MrPTCkntxR9HvXKm",19,92,"Kill","Execution","One-shot",253.479995727539,"LV",1,51.041,15401465,-17059,53837,NA
"MrPTCkntxR9HvXKm",19,92,"Kill","Execution","One-shot",253.479995727539,"SoL",2,90.067,797069,-17059,53837,NA
"6NwzFyrtmhQd1aJM",24,80,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"LV",1,51.009,18548366,-16958,54586,NA
"6NwzFyrtmhQd1aJM",25,76,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"SoL",1,45.014,20175439,-16692,54639,NA
"6NwzFyrtmhQd1aJM",26,80,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"SoL",1,45.08,19915780,-16978,54363,NA
"6NwzFyrtmhQd1aJM",27,71,"Wipe","Execution","Log w/ wipe(s)",250.600006103516,"DV",1,51.008,18056731,-17060,54047,NA
